Processed_File,Model,Fold,ROC AUC,Accuracy,Precision,Recall,F1
Data_drop_na_balanced_smote.pkl,LogisticRegression,2,0.9807448445675593,0.956140350877193,0.9304635761589404,0.9859649122807017,0.9574105621805792
Data_drop_na_balanced_smote.pkl,LogisticRegression,3,0.9791574005436126,0.9595782073813708,0.9335548172757475,0.9894366197183099,0.9606837606837607
Data_drop_na_balanced_smote.pkl,LogisticRegression,4,0.984988880652335,0.9543057996485061,0.9245901639344263,0.9894736842105263,0.9559322033898305
Data_drop_na_balanced_smote.pkl,MLP,0,0.9956909818405664,0.9859649122807017,0.9759450171821306,0.9964912280701754,0.9861111111111112
Data_drop_na_balanced_smote.pkl,MLP,1,0.999741458910434,0.9894736842105263,0.9826989619377162,0.9964912280701754,0.9895470383275261
Data_drop_na_balanced_smote.pkl,MLP,2,0.9979439827639274,0.9824561403508771,0.9661016949152542,1.0,0.9827586206896551
Data_drop_na_balanced_smote.pkl,MLP,3,0.9983073881887817,0.9859402460456942,0.9726027397260274,1.0,0.9861111111111112
Data_drop_na_balanced_smote.pkl,MLP,4,0.9958487768717569,0.9789103690685413,0.9595959595959596,1.0,0.979381443298969
Data_drop_na_minmax.pkl,LightGBM,0,0.6771929824561403,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,LightGBM,1,0.6912280701754386,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,LightGBM,2,0.5270175438596492,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,LightGBM,3,0.5691228070175439,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,LightGBM,4,0.4253521126760563,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_minmax.pkl,CatBoost,0,0.5950877192982456,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,CatBoost,1,0.7214035087719298,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,CatBoost,2,0.4336842105263158,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,CatBoost,3,0.6336842105263158,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,CatBoost,4,0.4007042253521127,0.9826989619377162,0.0,0.0,0.0
Data_drop_na_minmax.pkl,LogisticRegression,0,0.5543859649122806,0.8931034482758621,0.03571428571428571,0.2,0.06060606060606061
Data_drop_na_minmax.pkl,LogisticRegression,1,0.720701754385965,0.8827586206896552,0.0,0.0,0.0
Data_drop_na_minmax.pkl,LogisticRegression,2,0.6217543859649123,0.8724137931034482,0.029411764705882353,0.2,0.05128205128205128
Data_drop_na_minmax.pkl,LogisticRegression,3,0.6624561403508772,0.8724137931034482,0.0,0.0,0.0
Data_drop_na_minmax.pkl,LogisticRegression,4,0.3204225352112676,0.9134948096885813,0.0,0.0,0.0
Data_drop_na_minmax.pkl,MLP,0,0.5207017543859649,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,MLP,1,0.5459649122807018,0.9793103448275862,0.0,0.0,0.0
Data_drop_na_minmax.pkl,MLP,2,0.40210526315789474,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,MLP,3,0.6617543859649123,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_minmax.pkl,MLP,4,0.40774647887323945,0.9792387543252595,0.0,0.0,0.0
Data_drop_na_pca.pkl,LightGBM,0,0.30666666666666664,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,LightGBM,1,0.5964912280701755,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,LightGBM,2,0.6785964912280702,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,LightGBM,3,0.5,0.9827586206896551,0.0,0.0,0.0
Data_drop_na_pca.pkl,LightGBM,4,0.3232394366197183,0.9792387543252595,0.0,0.0,0.0
Data_drop_na_pca.pkl,CatBoost,0,0.3705263157894737,0.9758620689655172,0.0,0.0,0.0
Data_drop_na_pca.pkl,CatBoost,1,0.6856140350877193,0.9689655172413794,0.16666666666666666,0.2,0.18181818181818182
Data_drop_na_pca.pkl,CatBoost,2,0.4659649122807018,0.9586206896551724,0.0,0.0,0.0
Data_drop_na_pca.pkl,CatBoost,3,0.7284210526315789,0.9620689655172414,0.0,0.0,0.0
Data_drop_na_pca.pkl,CatBoost,4,0.4922535211267606,0.9757785467128027,0.0,0.0,0.0
Data_drop_na_pca.pkl,LogisticRegression,0,0.6940350877192982,0.46551724137931033,0.02531645569620253,0.8,0.049079754601226995
Data_drop_na_pca.pkl,LogisticRegression,1,0.8084210526315789,0.4827586206896552,0.026143790849673203,0.8,0.05063291139240506
Data_drop_na_pca.pkl,LogisticRegression,2,0.5978947368421053,0.45517241379310347,0.018867924528301886,0.6,0.036585365853658534
