mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_auto_class_weights,param_bagging_temperature,param_border_count,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
9.61555520693461,0.021919935181823707,0.10295375188191731,0.020674924883368317,Balanced,0.47454011884736247,124,6,171,6.986584841970366,0.05680559213273095,1.5599552033620265,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.47454011884736247, 'border_count': 124, 'depth': 6, 'iterations': 171, 'l2_leaf_reg': 6.986584841970366, 'learning_rate': 0.05680559213273095, 'random_strength': 1.5599552033620265}",0.7654671817221341,0.7607591666543254,0.7669883613972905,0.7644049032579167,0.002651671603360316,8
29.044987201690674,2.7369465544911873,0.06147289276123047,0.003702273773366299,Balanced,0.15808361216819947,119,8,199,2.428668179219408,0.20526654188465587,0.5641257902710025,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.15808361216819947, 'border_count': 119, 'depth': 8, 'iterations': 199, 'l2_leaf_reg': 2.428668179219408, 'learning_rate': 0.20526654188465587, 'random_strength': 0.5641257902710025}",0.7407425382989963,0.7536529218273578,0.7352773238947606,0.7432242613403716,0.007704321808166581,14
123.67686041196187,1.8371438789636445,0.13740118344624838,0.034723894619577866,Balanced,0.8219987722668247,189,9,485,2.818249672071006,0.06502135295603015,3.0424324295953773,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.8219987722668247, 'border_count': 189, 'depth': 9, 'iterations': 485, 'l2_leaf_reg': 2.818249672071006, 'learning_rate': 0.06502135295603015, 'random_strength': 3.0424324295953773}",0.759837559429477,0.7754432558468634,0.7803596728093082,0.7718801626952162,0.008748752634867378,4
10.313195705413818,0.5122632785989951,0.07207735379536946,0.010565840585283126,Balanced,0.6247564316322378,120,4,158,4.998609717152554,0.023999698964084628,9.73756518841459,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.6247564316322378, 'border_count': 120, 'depth': 4, 'iterations': 158, 'l2_leaf_reg': 4.998609717152554, 'learning_rate': 0.023999698964084628, 'random_strength': 9.73756518841459}",0.7301525356576863,0.7148945483027518,0.701086850995279,0.7153779783185724,0.01187093887493803,20
40.56853151321411,1.0170860842585796,0.05760947863260905,0.003431126364021144,Balanced,0.3327713404303042,221,9,150,4.824619912671627,0.3049692657420365,4.667638932479798,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.3327713404303042, 'border_count': 221, 'depth': 9, 'iterations': 150, 'l2_leaf_reg': 4.824619912671627, 'learning_rate': 0.3049692657420365, 'random_strength': 4.667638932479798}",0.749388206550449,0.7289543358032249,0.7335962838087997,0.7373129420541579,0.008746272722829124,17
56.16792742411295,2.2232478047277833,0.0459906260172526,0.010693231200738056,Balanced,0.9599404067363205,166,8,428,1.6505159298527952,0.29466566117599996,9.656330330745593,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.9599404067363205, 'border_count': 166, 'depth': 8, 'iterations': 428, 'l2_leaf_reg': 1.6505159298527952, 'learning_rate': 0.29466566117599996, 'random_strength': 9.656330330745593}",0.7386294902271526,0.735688369131128,0.7231055800460411,0.7324744798014405,0.006732743883213031,18
7.79056437810262,0.5341118688166607,0.04552133878072103,0.0029561940913341643,Balanced,0.9083973481164611,40,5,152,3.3089382562214897,0.0823076398078035,6.832645188254582,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.9083973481164611, 'border_count': 40, 'depth': 5, 'iterations': 152, 'l2_leaf_reg': 3.3089382562214897, 'learning_rate': 0.0823076398078035, 'random_strength': 6.832645188254582}",0.7648979793977813,0.750911194153877,0.7463413189319404,0.7540501641611996,0.007894186107141463,11
16.23185086250305,2.0339541320041747,0.03863032658894857,0.008218849093867435,Balanced,0.7099966577826209,39,6,305,4.910606075732408,0.0646708263364187,7.553624103176524,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.7099966577826209, 'border_count': 39, 'depth': 6, 'iterations': 305, 'l2_leaf_reg': 4.910606075732408, 'learning_rate': 0.0646708263364187, 'random_strength': 7.553624103176524}",0.7861796751188589,0.7744724124142902,0.7677762255252839,0.7761427710194777,0.007605450354329525,2
15.340187470118204,0.36140136373876974,0.04469601313273112,0.014793633303998749,Balanced,0.5251558744912447,85,5,359,2.8485445552552706,0.30087538832936755,7.751338233611145,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 0.5251558744912447, 'border_count': 85, 'depth': 5, 'iterations': 359, 'l2_leaf_reg': 2.8485445552552706, 'learning_rate': 0.30087538832936755, 'random_strength': 7.751338233611145}",0.7638332012678289,0.7694217228686283,0.7401335156544391,0.7577961465969655,0.012696043800585222,10
43.07894547780355,0.6397133410977098,0.05229727427164713,0.007505480115739282,Balanced,1.039498941564189,221,7,369,8.27271995856421,0.1079622306417506,5.704449744053994,"{'auto_class_weights': 'Balanced', 'bagging_temperature': 1.039498941564189, 'border_count': 221, 'depth': 7, 'iterations': 369, 'l2_leaf_reg': 8.27271995856421, 'learning_rate': 0.1079622306417506, 'random_strength': 5.704449744053994}",0.7822811014263075,0.7568382755846041,0.7629842081619959,0.7673678617243026,0.010839639004399678,7
