mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.618365208307902,0.7811624275515683,0.0,0.0,,1.3965429868602328,0.04668695797323276,10,238,40,0.15601864044243652,0.15599452033620265,0.6580836121681994,"{'class_weight': None, 'colsample_bytree': 1.3965429868602328, 'learning_rate': 0.04668695797323276, 'max_depth': 10, 'n_estimators': 238, 'num_leaves': 40, 'reg_alpha': 0.15601864044243652, 'reg_lambda': 0.15599452033620265, 'subsample': 0.6580836121681994}",,,,,,6
108.06451121966045,2.1528038569824623,0.39999016125996906,0.008479487632578697,balanced,0.9337086111390218,0.038573363584388155,5,199,72,0.9699098521619943,0.8324426408004217,0.8123391106782761,"{'class_weight': 'balanced', 'colsample_bytree': 0.9337086111390218, 'learning_rate': 0.038573363584388155, 'max_depth': 5, 'n_estimators': 199, 'num_leaves': 72, 'reg_alpha': 0.9699098521619943, 'reg_lambda': 0.8324426408004217, 'subsample': 0.8123391106782761}",0.7970612123613312,0.7791347645869227,0.7822990559781741,0.786165010975476,0.007812323106606298,4
0.6767191092173258,0.26029581329414186,0.0,0.0,balanced,1.5922115592912176,0.13349630192554332,8,285,68,0.5247746602583891,0.3998609717152555,0.6466656632136154,"{'class_weight': 'balanced', 'colsample_bytree': 1.5922115592912176, 'learning_rate': 0.13349630192554332, 'max_depth': 8, 'n_estimators': 285, 'num_leaves': 68, 'reg_alpha': 0.5247746602583891, 'reg_lambda': 0.3998609717152555, 'subsample': 0.6466656632136154}",,,,,,6
0.2430112361907959,0.138922547764005,0.0,0.0,balanced,0.9663618432936917,0.10121399684340719,5,157,74,0.9832308858067882,0.4667628932479799,1.4599404067363206,"{'class_weight': 'balanced', 'colsample_bytree': 0.9663618432936917, 'learning_rate': 0.10121399684340719, 'max_depth': 5, 'n_estimators': 157, 'num_leaves': 74, 'reg_alpha': 0.9832308858067882, 'reg_lambda': 0.4667628932479799, 'subsample': 1.4599404067363206}",,,,,,6
80.43668643633525,31.42385235749994,1.0927483240763347,0.22183616741244389,,0.7705241236872915,0.023010318597055907,6,138,79,0.5632882178455393,0.3854165025399161,0.6159662522202142,"{'class_weight': None, 'colsample_bytree': 0.7705241236872915, 'learning_rate': 0.023010318597055907, 'max_depth': 6, 'n_estimators': 138, 'num_leaves': 79, 'reg_alpha': 0.5632882178455393, 'reg_lambda': 0.3854165025399161, 'subsample': 0.6159662522202142}",0.8007389064976227,0.7985605189240421,0.7988741507176838,0.7993911920464495,0.0009615410918317434,2
0.07738606135050456,0.033786605683169164,0.0,0.0,balanced,1.2842330265121569,0.09803049874792026,9,221,27,0.034388521115218396,0.9093204020787821,0.8587799816000169,"{'class_weight': 'balanced', 'colsample_bytree': 1.2842330265121569, 'learning_rate': 0.09803049874792026, 'max_depth': 9, 'n_estimators': 221, 'num_leaves': 27, 'reg_alpha': 0.034388521115218396, 'reg_lambda': 0.9093204020787821, 'subsample': 0.8587799816000169}",,,,,,6
0.13341093063354492,0.1280097378687536,0.0,0.0,balanced,1.3553614103176526,0.09503117489824894,8,155,23,0.18485445552552704,0.9695846277645586,1.3751328233611146,"{'class_weight': 'balanced', 'colsample_bytree': 1.3553614103176526, 'learning_rate': 0.09503117489824894, 'max_depth': 8, 'n_estimators': 155, 'num_leaves': 23, 'reg_alpha': 0.18485445552552704, 'reg_lambda': 0.9695846277645586, 'subsample': 1.3751328233611146}",,,,,,6
346.118422349294,62.700338906354915,1.75255290667216,0.9948457427394752,balanced,0.9951502360018144,0.19533177315875885,10,255,81,0.32533033076326434,0.388677289689482,0.8713490317738959,"{'class_weight': 'balanced', 'colsample_bytree': 0.9951502360018144, 'learning_rate': 0.19533177315875885, 'max_depth': 10, 'n_estimators': 255, 'num_leaves': 81, 'reg_alpha': 0.32533033076326434, 'reg_lambda': 0.388677289689482, 'subsample': 0.8713490317738959}",0.7940874273639725,0.7885022518631143,0.786279184952256,0.7896229547264476,0.0032847266320496916,3
0.09524329503377278,0.025580203017519034,0.0,0.0,,1.186751165663848,0.2030510614528276,11,206,34,0.1652669390630025,0.01563640674119393,1.0234014807063696,"{'class_weight': None, 'colsample_bytree': 1.186751165663848, 'learning_rate': 0.2030510614528276, 'max_depth': 11, 'n_estimators': 206, 'num_leaves': 34, 'reg_alpha': 0.1652669390630025, 'reg_lambda': 0.01563640674119393, 'subsample': 1.0234014807063696}",,,,,,6
123.04979507128398,28.491665063859884,3.728642463684082,4.540514161136722,,0.7987156815341724,0.01110442342472048,5,130,27,0.7290071680409873,0.7712703466859457,0.6740446517340903,"{'class_weight': None, 'colsample_bytree': 0.7987156815341724, 'learning_rate': 0.01110442342472048, 'max_depth': 5, 'n_estimators': 130, 'num_leaves': 27, 'reg_alpha': 0.7290071680409873, 'reg_lambda': 0.7712703466859457, 'subsample': 0.6740446517340903}",0.7844793317485472,0.7896682512806082,0.7812818095205185,0.7851431308498914,0.0034557751936966025,5
0.34827176729838055,0.05301685186512936,0.0,0.0,,1.2510770255019446,0.19299193510875617,11,121,31,0.3308980248526492,0.06355835028602363,0.9109823217156622,"{'class_weight': None, 'colsample_bytree': 1.2510770255019446, 'learning_rate': 0.19299193510875617, 'max_depth': 11, 'n_estimators': 121, 'num_leaves': 31, 'reg_alpha': 0.3308980248526492, 'reg_lambda': 0.06355835028602363, 'subsample': 0.9109823217156622}",,,,,,6
0.6599438190460205,0.1931037557845436,0.0,0.0,balanced,1.2659223566174966,0.12825955754154544,8,268,54,0.4722149251619493,0.1195942459383017,1.3132447872229949,"{'class_weight': 'balanced', 'colsample_bytree': 1.2659223566174966, 'learning_rate': 0.12825955754154544, 'max_depth': 8, 'n_estimators': 268, 'num_leaves': 54, 'reg_alpha': 0.4722149251619493, 'reg_lambda': 0.1195942459383017, 'subsample': 1.3132447872229949}",,,,,,6
0.44426576296488446,0.07024107690810885,0.0,0.0,,1.3217295211648732,0.057196983949791155,9,76,28,0.7106628896857874,0.11089082081183133,1.03933650186577,"{'class_weight': None, 'colsample_bytree': 1.3217295211648732, 'learning_rate': 0.057196983949791155, 'max_depth': 9, 'n_estimators': 76, 'num_leaves': 28, 'reg_alpha': 0.7106628896857874, 'reg_lambda': 0.11089082081183133, 'subsample': 1.03933650186577}",,,,,,6
0.28245043754577637,0.004983248648345328,0.0,0.0,,0.6314291856867342,0.1372820822527561,6,145,23,0.907566473926093,0.24929222914887494,1.0103829230356296,"{'class_weight': None, 'colsample_bytree': 0.6314291856867342, 'learning_rate': 0.1372820822527561, 'max_depth': 6, 'n_estimators': 145, 'num_leaves': 23, 'reg_alpha': 0.907566473926093, 'reg_lambda': 0.24929222914887494, 'subsample': 1.0103829230356296}",,,,,,6
0.3184356689453125,0.07922926208747423,0.0,0.0,,0.8030612247347694,0.1985707141115962,9,236,47,0.9296976523425731,0.808120379564417,1.2334037565104234,"{'class_weight': None, 'colsample_bytree': 0.8030612247347694, 'learning_rate': 0.1985707141115962, 'max_depth': 9, 'n_estimators': 236, 'num_leaves': 47, 'reg_alpha': 0.9296976523425731, 'reg_lambda': 0.808120379564417, 'subsample': 1.2334037565104234}",,,,,,6
0.2509942054748535,0.05698913188158846,0.0,0.0,balanced,1.0565345704829103,0.05368808744336672,6,79,81,0.5393422419156507,0.8074401551640625,1.4960912999234932,"{'class_weight': 'balanced', 'colsample_bytree': 1.0565345704829103, 'learning_rate': 0.05368808744336672, 'max_depth': 6, 'n_estimators': 79, 'num_leaves': 81, 'reg_alpha': 0.5393422419156507, 'reg_lambda': 0.8074401551640625, 'subsample': 1.4960912999234932}",,,,,,6
0.26425719261169434,0.03988249260114998,0.0,0.0,,1.506828441545754,0.06442644987692707,11,165,96,0.8607305832563434,0.006952130531190703,1.1107473025775656,"{'class_weight': None, 'colsample_bytree': 1.506828441545754, 'learning_rate': 0.06442644987692707, 'max_depth': 11, 'n_estimators': 165, 'num_leaves': 96, 'reg_alpha': 0.8607305832563434, 'reg_lambda': 0.006952130531190703, 'subsample': 1.1107473025775656}",,,,,,6
0.249740997950236,0.08850816015702036,0.0,0.0,,1.084829971358983,0.1484872065780541,10,256,78,0.32320293202075523,0.5187906217433661,1.3030189588951777,"{'class_weight': None, 'colsample_bytree': 1.084829971358983, 'learning_rate': 0.1484872065780541, 'max_depth': 10, 'n_estimators': 256, 'num_leaves': 78, 'reg_alpha': 0.32320293202075523, 'reg_lambda': 0.5187906217433661, 'subsample': 1.3030189588951777}",,,,,,6
115.1085528532664,43.03969571276047,0.6797195275624593,0.37320013101725924,,0.6648922471089815,0.06078308278686894,9,179,22,0.30087830981676966,0.2848404943774676,0.6368869473545328,"{'class_weight': None, 'colsample_bytree': 0.6648922471089815, 'learning_rate': 0.06078308278686894, 'max_depth': 9, 'n_estimators': 179, 'num_leaves': 22, 'reg_alpha': 0.30087830981676966, 'reg_lambda': 0.2848404943774676, 'subsample': 0.6368869473545328}",0.8060235076597992,0.7919933390267542,0.806117959122555,0.8013782686030361,0.0066362593697319805,1
0.21336730321248373,0.010820304813958863,0.0,0.0,,1.5766149558326528,0.09220740266364626,9,278,20,0.23956189066697242,0.1448948720912231,1.089452760277563,"{'class_weight': None, 'colsample_bytree': 1.5766149558326528, 'learning_rate': 0.09220740266364626, 'max_depth': 9, 'n_estimators': 278, 'num_leaves': 20, 'reg_alpha': 0.23956189066697242, 'reg_lambda': 0.1448948720912231, 'subsample': 1.089452760277563}",,,,,,6
