iter	Passed	Remaining
416	3668	730
417	3677	721
418	3685	712
419	3694	703
420	3702	694
421	3711	686
422	3720	677
423	3728	668
424	3737	659
425	3745	650
426	3754	641
427	3762	632
428	3771	624
429	3779	615
430	3787	606
431	3795	597
432	3804	588
433	3813	579
434	3821	571
435	3830	562
436	3840	553
437	3848	544
438	3857	535
439	3865	527
440	3874	518
441	3883	509
442	3892	500
443	3900	491
444	3909	483
445	3918	474
446	3926	465
447	3934	456
448	3943	447
449	3952	439
450	3961	430
451	3969	421
452	3977	412
453	3986	403
454	3994	395
455	4003	386
456	4012	377
457	4020	368
458	4029	359
459	4037	351
460	4046	342
461	4055	333
462	4064	324
463	4072	316
464	4081	307
465	4090	298
466	4098	289
467	4107	280
468	4115	272
469	4124	263
470	4133	254
471	4142	245
472	4150	236
473	4159	228
474	4167	219
475	4176	210
476	4184	201
477	4193	192
478	4201	184
479	4210	175
480	4218	166
481	4227	157
482	4235	149
483	4244	140
484	4252	131
485	4264	122
486	4272	114
487	4282	105
488	4291	96
489	4301	87
490	4308	78
491	4317	70
492	4326	61
493	4334	52
494	4342	43
495	4351	35
496	4360	26
497	4368	17
498	4378	8
499	4386	0
